X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
-6.762919902801514 1173.290283203125 1596.73388671875 2.655574435354146 168412.0 144097.0 0.032
-6.765232086181641 1173.2225341796875 1596.7462158203125 2.6411094586597357 152685.0 168412.0 0.9000000000000007
-6.84261417388916 1172.5467529296875 1596.7838134765625 2.4649545514506226 152685.0 153745.0 0.2680000000000002
-6.880735874176025 1172.371826171875 1596.8001708984375 2.4256610859446175 142138.0 144129.0 0.7600000000000006
-6.918747901916504 1171.9515380859375 1596.7984619140625 2.3315708703745193 152453.0 175232.0 0.47600000000000037
-7.080491542816162 1171.3179931640625 1596.7559814453125 2.231258469551967 101920.0 101920.0 0.0
-7.126091957092285 1171.221435546875 1596.7330322265625 2.2228403306341247 101910.0 153147.0 0.09200000000000005
-7.458353042602539 1170.434326171875 1596.67333984375 2.306112116760642 152485.0 152485.0 0.0
-7.458742618560791 1170.4337158203125 1596.67333984375 2.3061978181447294 152487.0 152485.0 0.9600000000000007
-7.46809720993042 1170.41943359375 1596.672119140625 2.308254651362821 152487.0 152487.0 0.0
-7.508939266204834 1170.0751953125 1596.5166015625 2.175150155813969 152483.0 152483.0 0.0
-7.579543590545654 1169.211181640625 1596.24365234375 2.0078370291529977 142147.0 142147.0 0.0
-7.731554985046387 1168.6497802734375 1596.18701171875 2.1321840412764117 142146.0 142157.0 0.33200000000000024
-7.836626052856445 1167.462646484375 1596.359130859375 2.3690543546207854 110605.0 110605.0 0.0
-7.440685749053955 1166.648193359375 1596.2523193359375 2.54742905032399 168457.0 168457.0 0.0
-7.998528003692627 1165.30908203125 1596.6014404296875 2.23299981683101 127390.0 127390.0 0.0
-7.990773677825928 1165.11376953125 1596.553955078125 2.2500254022428936 142123.0 126885.0 0.060000000000000026
-7.990127086639404 1164.54833984375 1596.4107666015625 2.3034136177266076 102017.0 132446.0 0.7640000000000006
-7.701319694519043 1162.3480224609375 1596.23095703125 2.6507188660830168 144043.0 144043.0 0.0
-7.7014079093933105 1162.347900390625 1596.2310791015625 2.6506866013167443 173774.0 144043.0 0.9960000000000008
-7.723320960998535 1162.3184814453125 1596.2529296875 2.642652674514917 173774.0 173774.0 0.0
-8.222280502319336 1159.7828369140625 1596.7774658203125 2.1931136176545873 173865.0 173865.0 0.0
-8.010008811950684 1158.6536865234375 1596.3812255859375 2.2464585654609754 173872.0 173872.0 0.0
-7.827996253967285 1157.90478515625 1596.153076171875 2.607851512030085 144054.0 173752.0 0.36000000000000026
-8.083661079406738 1157.345703125 1596.424560546875 2.458808375777976 173860.0 173860.0 0.0
-8.062406539916992 1155.4678955078125 1596.466796875 1.959940302656517 173745.0 164189.0 0.9640000000000007
-7.862882614135742 1154.66796875 1596.26025390625 2.0911631029374065 164189.0 172855.0 0.6480000000000005
-7.756138324737549 1154.2333984375 1596.1466064453125 2.1625184790353686 172855.0 172855.0 0.0
-7.751081943511963 1154.2242431640625 1596.1414794921875 2.166516978886029 155806.0 172855.0 0.9880000000000008
-7.334766387939453 1153.4698486328125 1595.7159423828125 2.4957267999237254 155806.0 155806.0 0.0
-7.385583400726318 1153.1492919921875 1595.846435546875 2.344270384539983 173652.0 173652.0 0.0
-7.419776439666748 1152.23828125 1596.0628662109375 2.010350203003103 173738.0 173738.0 0.0
-7.419617176055908 1152.234375 1596.06298828125 2.0098427577563522 173687.0 173738.0 0.9960000000000008
-7.379951477050781 1151.248779296875 1596.0831298828125 1.8834888913152983 173687.0 173687.0 0.0
-7.286839485168457 1150.4404296875 1595.89013671875 1.9584135223983297 173665.0 141820.0 0.9880000000000008
-7.063453197479248 1149.16552734375 1595.2125244140625 2.5009774267028466 110491.0 109546.0 0.2600000000000002
-7.08772087097168 1149.135498046875 1595.2213134765625 2.485180955493144 132455.0 133131.0 0.7400000000000005
-7.696613788604736 1147.5614013671875 1595.407958984375 1.8660081749143778 141518.0 141518.0 0.0
-7.723121643066406 1147.2308349609375 1595.32763671875 1.875829696679712 141519.0 141529.0 0.22400000000000017
-7.709939956665039 1146.089111328125 1595.1964111328125 1.879303615615046 141529.0 141529.0 0.0
-7.709939956665039 1146.089111328125 1595.1964111328125 1.8793094284156315 141528.0 141529.0 0.9880000000000008
-7.709920883178711 1146.087890625 1595.1961669921875 1.8797880156638491 141528.0 141528.0 0.0
-7.510807037353516 1145.32177734375 1594.760498046875 2.0812151148364135 141487.0 141487.0 0.0
-7.130441188812256 1144.760498046875 1594.728759765625 2.388550566502003 141526.0 141526.0 0.0
-7.088466644287109 1144.5924072265625 1594.8231201171875 2.389839629135494 19434.0 19434.0 0.0
-7.0020575523376465 1142.8731689453125 1594.922607421875 2.3000794972394676 109558.0 109558.0 0.0
